Precinct,PVI DEM,PVI REP,PVI Other,Current,Alpha,Bravo,2022 Assessor DEM %,2022 Assessor REP %
087,,,,3,3,3,62.19%,37.81%
088,,,,3,3,3,53.85%,46.15%
089,,,,3,3,3,52.21%,47.79%
090,,,,4,4,4,50.00%,50.00%
091,,,,5,5,5,43.40%,56.60%
092,,,,5,3,3,64.33%,35.67%
093,,,,5,3,3,72.94%,27.06%
094,,,,5,5,5,41.07%,58.93%
095,,,,5,3,3,44.33%,55.67%
096,,,,3,3,3,46.63%,53.37%
097,,,,5,3,3,54.55%,45.45%
099,,,,5,3,3,49.48%,50.52%
101,40.20,53.60,6.20,3,3,3,43.51%,56.49%
102,48.50,46.80,4.70,3,3,3,47.97%,52.03%
103,41.00,53.90,5.10,3,3,3,43.78%,56.22%
104,45.30,49.40,5.30,3,3,3,47.11%,52.89%
105,33.40,64.70,1.90,3,3,3,27.85%,72.15%
106,45.20,49.40,5.40,3,3,3,44.73%,55.27%
107,52.50,41.70,5.90,3,3,3,54.58%,45.42%
108,48.80,46.60,4.60,3,3,3,52.07%,47.93%
109,48.90,45.00,6.10,3,3,3,52.35%,47.65%
110,59.50,35.50,5.00,3,3,3,62.02%,37.98%
111,53.10,39.90,7.10,3,3,3,56.79%,43.21%
112,59.00,35.60,5.40,3,3,3,63.99%,36.01%
113,56.70,36.60,6.80,3,3,3,59.65%,40.35%
114,50.50,45.10,4.40,3,3,3,52.24%,47.76%
115,43.50,52.80,3.70,3,3,3,45.15%,54.85%
116,33.90,62.30,3.90,3,3,3,35.93%,64.07%
117,42.10,51.60,6.30,3,3,3,47.18%,52.82%
118,48.90,45.60,5.50,3,3,3,50.00%,50.00%
119,61.70,32.80,5.50,3,3,3,63.87%,36.13%
120,37.70,58.30,4.10,5,1,1,40.96%,59.04%
121,38.00,57.50,4.50,5,3,3,34.30%,65.70%
122,43.00,50.70,6.30,3,3,3,45.37%,54.63%
123,43.70,50.50,5.80,5,3,3,47.28%,52.72%
124,45.10,49.70,5.20,5,3,3,44.13%,55.87%
125,39.20,55.40,5.40,5,5,5,42.80%,57.20%
126,46.30,48.00,5.80,3,3,3,49.46%,50.54%
127,42.00,53.70,4.20,5,3,5,43.03%,56.97%
128,37.60,57.50,4.90,5,5,5,39.26%,60.74%
129,49.00,44.90,6.20,5,5,5,51.79%,48.21%
130,44.60,48.80,6.70,5,5,2,46.13%,53.87%
131,43.50,51.40,5.00,5,5,5,45.18%,54.82%
132,41.70,53.80,4.50,5,5,5,43.06%,56.94%
133,49.90,44.90,5.20,3,3,3,49.79%,50.21%
134,38.90,55.50,5.70,1,1,1,42.98%,57.02%
135,39.70,55.00,5.30,1,1,1,47.31%,52.69%
136,39.20,55.20,5.60,5,3,3,36.79%,63.21%
137,50.70,42.10,7.30,5,5,5,51.64%,48.36%
138,39.90,55.70,4.40,5,1,1,40.58%,59.42%
139,42.80,50.60,6.60,2,4,4,46.06%,53.94%
140,35.80,58.70,5.50,5,1,1,37.41%,62.59%
141,36.80,57.00,6.20,1,1,1,38.13%,61.87%
142,34.90,60.60,4.50,1,1,1,36.87%,63.13%
143,31.80,63.00,5.20,1,1,1,33.07%,66.93%
144,34.70,60.00,5.30,5,1,1,37.15%,62.85%
145,34.60,60.50,4.90,1,1,1,34.91%,65.09%
146,32.50,62.60,4.90,1,1,1,33.13%,66.87%
147,38.40,54.90,6.60,5,1,1,42.21%,57.79%
148,38.70,55.20,6.10,5,5,5,42.40%,57.60%
149,34.00,61.10,4.90,5,5,5,36.99%,63.01%
150,29.60,65.40,5.00,5,5,5,29.16%,70.84%
151,36.70,58.70,4.60,5,2,2,39.60%,60.40%
152,37.20,57.00,5.80,5,5,5,40.00%,60.00%
153,33.50,61.20,5.30,5,2,2,36.36%,63.64%
154,43.80,49.60,6.60,5,5,5,49.19%,50.81%
155,39.00,55.50,5.50,5,2,2,44.36%,55.64%
156,31.80,63.50,4.80,5,2,2,35.00%,65.00%
157,38.60,56.00,5.40,2,2,2,39.40%,60.60%
158,33.80,61.40,4.70,2,2,2,37.61%,62.39%
159,29.50,64.70,5.80,2,2,2,33.48%,66.52%
160,42.00,53.00,5.00,2,2,2,43.06%,56.94%
161,32.60,63.60,3.80,2,2,2,33.79%,66.21%
162,31.00,63.70,5.30,2,5,5,31.95%,68.05%
163,38.40,56.30,5.30,1,1,1,44.98%,55.02%
164,37.50,56.30,6.30,5,1,1,41.53%,58.47%
165,29.90,66.10,4.00,5,2,2,33.31%,66.69%
